SOURCE,ID_SURV,ID_SITE,x,y,PRES_COEL,PRES_COER,PRES_GUAC,PRES_HERB,PRES_GRIS,PRES_SCIU,PRES_INVERT
RVC,1285U_1_2016,1285U_1,488951.65834308986,2723637.0114644426,0,0,0,0,1,1,1
RVC,1285U_2_2016,1285U_2,488956.7312663353,2723652.508693869,0,0,0,0,1,1,1
RVC,1289U_2_2016,1289U_2,484223.35711630585,2723054.734418822,0,0,0,0,1,1,1
RVC,1289U_1_2016,1289U_1,484207.1762407972,2723066.9323405083,0,0,0,0,1,1,1
RVC,1293U_2_2016,1293U_2,518080.17664922343,2734837.4942184244,0,0,0,0,1,0,1
RVC,1297U_2_2016,1297U_2,551700.8843901822,2757728.2345988853,0,0,0,0,1,1,1
RVC,1306U_2_2016,1306U_2,477201.2732270375,2720185.649744252,0,1,0,1,1,1,1
RVC,1313U_2_2016,1313U_2,469955.4101684241,2717266.311172563,0,0,0,0,1,1,1
RVC,1313U_1_2016,1313U_1,469917.9512387731,2717269.713591001,0,0,0,0,1,1,1
RVC,1321U_2_2016,1321U_2,502645.79861843935,2728380.6958669764,0,0,0,0,1,1,1
RVC,1323U_1_2016,1323U_1,526764.444133468,2738969.451868643,0,1,0,1,1,1,1
RVC,1326U_2_2016,1326U_2,554776.5672454867,2760206.186244139,1,0,0,1,1,1,1
RVC,1342U_2_2016,1342U_2,523955.24329342035,2736978.984394194,0,0,0,0,1,1,1
RVC,1345U_2_2016,1345U_2,548078.4216178858,2755063.0503411647,0,0,0,0,1,0,1
RVC,1359U_1_2016,1359U_1,401589.3404137234,2706612.464964278,0,0,0,0,1,1,1
